Front (Question)	Back (Answer)	Lecture	Exam Ticket
Почему трансфер-обучение работает?	<p>Иерархия признаков. Ранние слои CNN выучивают универсальные признаки: рёбра, углы, текстуры. Они полезны для любой задачи (собака, кошка, автомобиль — всё имеет края). Поздние слои учат специфичные для класса признаки: морда собаки, форма авто. При трансфер-обучении берём универсальные ранние признаки (они переносятся), замораживаем их, дообучаем только поздние слои и FC классификатор на новой задаче. Это экономит обучение и защищает от переобучения.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
Критическая ошибка при трансфер-обучении?	<p>Забыть нормализацию входа! Использовать случайную нормализацию вместо ImageNet mean/std. Это испортит все предобученные признаки, точность упадёт. Второе: забыть model.eval() для BatchNorm слоёв при заморозке. BatchNorm в train режиме обновит running_mean/var по новому маленькому батчу, испортит статистики. Третье: слишком большой learning rate — перепишет предобученные веса. Используй 100-1000x меньше, чем при обучении с нуля.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
Медицинские снимки и спутники: поможет ли трансфер?	<p>Поможет, но меньше, чем на ImageNet-похожих задачах. Медицинские снимки и спутниковые данные очень отличаются от RGB картинок из ImageNet. Ранние слои CNN (рёбра, текстуры) могут помочь, но поздние слои нужно переделать. Рекомендация: используй предобученные веса как инициализацию, но дообучи больше слоёв (не только FC) с аугментацией. Или используй self-supervised предобучение на своём датасете неразмеченных данных.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
GlobalAveragePooling vs Flatten + FC?	<p>GlobalAveragePooling берёт среднее по всей пространственной карте. Выход независим от размера входа! Вход 32×32×128 или 224×224×128 → выход 128-мерный вектор. Плюсы: (1) параметров намного меньше (нет большого FC), (2) меньше переобучения, (3) интерпретируемость (каждый выход = среднее активации канала). Flatten + FC требует фиксированный размер входа и много параметров. GlobalAveragePooling используется везде сейчас.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
Depthwise separable свёртка: как работает и чем выигрывает?	<p>Depthwise separable = два этапа: (1) Depthwise Conv 3×3 на каждом входном канале отдельно, даёт $k^2 · C_{in}$ параметров; (2) Pointwise Conv 1×1 комбинирует каналы, даёт $C_{in} · C_{out}$ параметров. Всего $k^2 · C_{in} + C_{in} · C_{out}$ вместо $k^2 · C_{in} · C_{out}$ обычной свёртки. Выигрыш: в $C_{out}$ раз меньше параметров! Для $k=3$, $C_{in}=64$, $C_{out}=128$: обычная 73K параметров, depthwise separable 9K. Используется в MobileNet для мобильных устройств.</p>	Лекция_05	Билет_5_Архитектуры_CNN_Transfer_Learning
В чём разница между Batch GD, SGD и mini-batch?	<p><strong>Batch GD:</strong> считаем градиент на <em>всей выборке</em>, один шаг = одна эпоха. Точный, но медленный.</p> <p><strong>SGD:</strong> считаем градиент на <em>одном примере</em>, много шагов за эпоху, очень дёшев. Шумный, но шум помогает избегать локальных минимумов.</p> <p><strong>Mini-batch:</strong> компромисс: батч из 32-256 примеров. Баланс шума и стабильности, хороший параллелизм на GPU. Стандарт на практике.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Почему SGD с шумом иногда лучше, чем чистый GD?	<p>Шум помогает избегать плохих локальных минимумов и седловых точек. В высоких размерностях локальные минимумы чрезвычайно редки, чаще встречаются седловые точки. Случайное возмущение помогает покинуть такую точку, чистый градиентный спуск застрял бы (градиент ноль). Плюс шум работает как регуляризация.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Что такое Momentum и зачем он нужен?	<p>Momentum — это накопление скорости: вместо чистого градиента ведём вектор скорости $v_t = \beta v_{t-1} + g_t$. Интуиция: шарик с инерцией. Плюсы: гасит зигзаг в узких ущельях (овраги), ускоряет движение в согласованных направлениях, помогает преодолеть плато. Стандартное значение $\beta = 0.9$ означает усреднение по примерно 10 последним градиентам.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Чем Adam отличается от SGD+Momentum?	<p>Adam = Momentum + адаптивный learning rate. Adam ведёт два буфера: первый момент $m$ (как Momentum) и второй момент $v$ (как RMSProp). Это позволяет иметь разный learning rate для каждого параметра в зависимости от дисперсии его градиентов. Плюс bias correction на ранних шагах. Результат: Adam сходится быстрее и работает с дефолт гиперпараметрами, но иногда финальное качество хуже, чем SGD+Momentum.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Зачем нужна коррекция смещения в Adam? Можно без неё?	<p>Без коррекции смещения $m$ и $v$ инициализируются нулями, и на первых шагах они сильно смещены к нулю. На $t=1$: $m_1 = 0.1 g_1$ (в 10 раз меньше!). Если использовать такое $m$ в шаге, он будет в 10 раз меньше нужного, обучение замирает. Коррекция $\hat m = m/(1-0.9^t)$ восстанавливает нормальный масштаб. При $t=1000$ коррекция почти не нужна (знаменатель ≈ 1), поэтому её эффект исчезает.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Почему Learning rate такой важный? Что будет, если выбрать неправильно?	<p>Learning rate контролирует размер шага. Слишком маленький (10^-6) → обучение медленное, может занять неделю; слишком большой (1) → прыгаем через минимум, веса расходятся, loss → NaN. Правильный (10^-3) → быстрая и стабильная сходимость. Learning rate — самый критичный гиперпараметр: влияет на всё.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Что такое bias correction? Формула и зачем?	<p>В Adam: $\hat m_t = m_t / (1 - \beta_1^t)$ и $\hat v_t = v_t / (1 - \beta_2^t)$. Зачем? Потому что $m$ и $v$ инициализируются нулями. Пример: при $\beta_1 = 0.9$, $t=1$: $m_1 = (1-0.9)g = 0.1 g$ (ошибка: слишком мало). Деление на $(1 - 0.9^1) = 0.1$ даёт $\hat m_1 = 0.1g / 0.1 = g$ (исправлено!). При больших $t$ эффект исчезает, так что это только для стабилизации начала обучения.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Какой оптимизатор выбрать для своего проекта?	<p>Сейчас стандарт: <strong>Adam</strong> (или AdamW для трансформеров). Начни с Adam, дефолт LR = 1e-3. Если качество плохое, попробуй SGD+Momentum (иногда даёт лучше качество в CV, но нужно подбирать LR). RMSProp может помочь с RNN. Главное: не тратить много времени на выбор, часто результат похож.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Производная скаляра по матрице: размер результата?	<p>Результат имеет <strong>размер самой матрицы</strong>. Пример: если $L$ — скаляр, $W \in \mathbb{R}^{3 \times 5}$, то $\partial L/\partial W$ — матрица $(3 \times 5)$. Это главное правило для проверки формул: если получилась другого размера, где-то потеря или нужно транспонирование.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Нормальное уравнение: откуда (X'X)^-1 X'y?	<p>Минимизируем $L = \frac{1}{2}\|Xw - y\|^2$. Градиент: $\frac{\partial L}{\partial w} = X^\top(Xw - y)$. Приравняем нулю: $X^\top Xw = X^\top y \Rightarrow w = (X^\top X)^{-1}X^\top y$. Это аналитическое решение: веса, которые идеально минимизируют MSE. На практике редко используется (обратная матрица дорого), но теоретический результат.</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Почему вес decay в Adam работает не как L2-регуляризация?	<p>L2-регуляризация добавляет $\lambda w$ к градиенту: $g' = g + \lambda w$. Потом Adam применяет адаптивный шаг к этому $g'$. Результат: параметры с малым историческим градиентом получают большую коррекцию, параметры с большим — малую. Weight decay делает по-другому: вычитает $\eta \lambda w$ <em>вне</em> адаптивного механизма: $w \leftarrow w - \eta \frac{m}{v} - \eta \lambda w$. Результат: все параметры регуляризуются одинаково, независимо от $v$. Это правильнее и является стандартом (AdamW).</p>	Лекция_06	Билет_6_Оптимизаторы_SGD_Momentum_Adam_Матричные_производные
Как диагностировать недообучение и переобучение?	<p>Посмотри на кривые train и val loss по эпохам. Если оба loss высокие и не падают → недообучение (модель слабая). Если train падает, а val растёт → переобучение (модель запоминает). Если оба падают, val чуть выше train → норма. Быстрая диагностика за 30 секунд.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Зачем нужна аугментация, если она меняет данные?	<p>Аугментация расширяет выборку: модель видит варианты одного объекта (повёрнутые, обрезанные, с шумом). Это как если бы датасет был в несколько раз больше. Плюс аугментация работает как регуляризация: модель не может запомнить пиксели, вынуждена учить инвариантные признаки. Результат: лучше обобщает на новые данные.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Mixup vs CutMix: чем отличаются и когда какой?	<p>Mixup: смешиваем пиксели двух изображений линейно (60% кот + 40% собака). Размазанное изображение. CutMix: вырезаем куск из одного, вставляем в другое (кот с куском собаки). Реальнее выглядит. На практике CutMix часто работает лучше на изображениях (более natural), Mixup проще в реализации. Для текста Mixup редко используется, обычно back-translation.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Learning rate: самый важный гиперпараметр? Почему?	<p>Да. Слишком маленький LR → обучение медленное, может час потребоваться вместо 10 минут. Слишком большой → loss → NaN, расходимся. Правильный LR → сходимся быстро к хорошему решению. LR влияет на всё. Поэтому всегда начинай с выбора LR.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Grid vs Random search: какой лучше?	<p>Random обычно лучше. Причина: параметры имеют неравную важность. Grid может пройти мимо оптимума по важному параметру, если он не на сетке. Random распределит пробы по всему диапазону, не только по сетке. Практический вывод: используй random, если бюджет ограничен и параметры неравной важности. Grid — только если параметров очень мало (&lt;2-3).</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Байесовская оптимизация: зачем нужен суррогат?	<p>Суррогат (гауссовский процесс) — это дешёвая модель, которая интерполирует уже проведённые пробы. На основе суррогата выбираем следующую точку умно: не случайно, а там, где ожидаем улучшение (high expected improvement или UCB). Результат: гораздо меньше проб, чем random search (50 вместо 200).</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Гауссовский процесс: как он работает на пальцах?	<p>GP — это вероятностная модель. На каждой точке λ она выдаёт два числа: среднее $\mu(\lambda)$ (предсказанное значение) и стандартное отклонение $\sigma(\lambda)$ (неопределённость). Где данные есть, $\sigma$ мал (мы уверены). Где данных нет, $\sigma$ большой (мы не знаем). GP строится как взвешенная сумма гауссиан, центрированных на наблюдённые точки.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Гиперпараметры: с какого начинать подбирать?	<p>Learning rate. Это самый важный и чувствительный параметр. Сначала найди range, где loss падает (не NaN, не плато): обычно $10^{-3}$ … $10^{-4}$ для CNN. Потом уточняй внутри. Остальные параметры менее критичны, дефолты часто работают. Исключение: batch size — большой батч требует пропорционально больший LR (linear scaling rule).</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Early stopping: как правильно использовать?	<p>Во время обучения мониторь loss (или accuracy) на валидационном наборе. Если он не падает K эпох подряд, остановись и верни лучшие веса. Это предотвращает переобучение. Параметр K обычно 10-20. Плюс: экономия времени, лучшее обобщение. Минус: требует дополнительного кода.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Test-Time Augmentation (TTA): что это и зачем?	<p>На инференс (тесте) вместо одного предсказания модели подаём несколько аугментированных вариантов изображения и усредняем предсказания. Медленнее (~10x), но качество лучше, особенно если тестовые данные трудные. Используется в соревнованиях (Kaggle). Не используется на train, только на test.</p>	Лекция_07	Билет_7_Аугментация_Тюнинг_гиперпараметров
Почему классификация не работает для face recognition?	<p>В классификации число классов K фиксировано: если нанимают нового сотрудника, нужно переобучать модель. Plus разметка: нужна целая выборка нового лица. Метрический подход: обучаем функцию расстояния один раз, потом новое лицо просто добавляем в gallery как новый эталон — никакого переобучения.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Что такое сиамская сеть и почему веса в обеих ветках общие?	<p>Сиамская сеть — это архитектура, где одна и та же сеть применяется к нескольким входам. Веса общие из-за симметрии: расстояние $d(a,b) = d(b,a)$, поэтому перестановка входов не должна влиять на результат. Если бы веса были разные, одинаковые входы в разных ветках дали бы разные эмбеддинги — логически неправильно. Плюс экономия параметров и регуляризация.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Разберите contrastive loss: оба слагаемых и margin.	<p>$L = y \cdot d^2 + (1-y) \cdot \max(0, m-d)^2$. При $y=1$ (позитивная пара) штрафуем за большие расстояния — хотим их близко. При $y=0$ (негативная пара) штрафуем только если $d < m$ — негативы должны быть на расстоянии не менее $m$. Margin нужен, чтобы негативы не разъезжались бесконечно: создаёт целевой зазор между классами.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Что такое hard, easy и semi-hard triplets?	<p>Easy triplets: $d(a,n) \gg d(a,p)$ — негатив уже далеко, loss=0, не учат. Hard triplets: $d(a,n) < d(a,p)$ — негатив ближе позитива, loss большой, может дестабилизировать. Semi-hard: $d(a,p) < d(a,n) < d(a,p)+m$ — золотая середина, информативны, стабильны. FaceNet использовала semi-hard mining в батче для стабильного обучения.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Напишите формулу triplet loss и объясните каждый член.	<p>$L = \max(0, d(a,p) - d(a,n) + m)$. Это говорит: позитив должен быть ближе якоря, чем негатив, по крайней мере на margin $m$. Loss = 0 если условие выполнено. Числовой пример: $d(a,p)=0.3, d(a,n)=0.9, m=0.2$ даёт $L = \max(0, 0.3-0.9+0.2) = 0$ — тройка хороша. Если $d(a,p)=0.5, d(a,n)=0.6$, то $L = 0.1$ — негатив слишком близко.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Почему нормализуют эмбеддинги на единичную сферу?	<p>Нормализация $\|f(x)\| = 1$ стабилизирует обучение (нет проблемы с растущей нормой), делает L2 и косинусное расстояние пропорциональны ($\|a-b\|^2 = 2(1 - \cos(a,b))$ при $\|a\|=\|b\|=1$), позволяет использовать быстрый косинусный поиск в FAISS, имеет геометрический смысл (точки на сфере).</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
ArcFace vs CosFace: в чём разница и почему ArcFace лучше?	<p>Обе добавляют margin, но ArcFace добавляет его к углу ($\theta+m$), CosFace — к косинусу ($\cos\theta - m$). ArcFace: угловой margin инвариантен к размерности и геометрически естественен на сфере. CosFace: проще вычисляется. На практике ArcFace показывает лучший результат и стал стандартом в face recognition.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Как практически работает верификация лица?	<p>1) Обучают сеть с ArcFace на большом датасете (миллионы лиц). 2) На инференсе входное лицо проходит через энкодер → эмбеддинг z (норм. на сфере). 3) Вычисляют расстояние до эталонного лица в gallery: $d(z, z_{ref})$. 4) Сравнивают с порогом $\tau$ (выбран на validation set через ROC/EER). Если $d < \tau$ → один человек, иначе → разные. Порог определяет баланс FAR (ложные принятия) и FRR (ложные отклонения).</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Что такое collapse в triplet loss и как его избежать?	<p>Collapse — схлопывание всех эмбеддингов в одну точку, из-за чего все расстояния нулевые, loss везде ноль, сеть застывает. Причина: hard triplets и неудачная инициализация. Защита: semi-hard mining (как в FaceNet), осторожная инициализация (Xavier/He), контролируемый learning rate, L2-регуляризация на эмбеддинги.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Почему сиамская сеть, а не две разные сети?	<p>Псевдосиамские сети (с разными весами) используют в асимметричных задачах, но для метрических задач со взаимной похожестью это неправильно. Если веса разные, две копии одного входа дадут разные эмбеддинги в разных ветках — логически нарушается симметрия расстояния. Плюс синергия параметров в сиамской архитектуре тренирует более устойчивые представления.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Как работает linear probing и почему это честная оценка качества представления?	<p>После обучения метрической сети заморозить энкодер и обучить только линейный классификатор на новой задаче с размеченными данными. Это честная оценка, потому что проверяет, насколько хорошо эмбеддинги специфичны для конкретной задачи, а не перегенерализированы. Если linear probing работает хорошо — представление действительно полезно; если плохо — энкодер выучил что-то своё.</p>	Лекция_08	Билет_8_Метрические_методы_Сиамские_сети
Почему pretask первого поколения (поворот, jigsaw) работают хуже контрастивных методов?	<p>Потому что они требуют только <strong>локального</strong> или <strong>глобального признака</strong>, но не требуют полноты семантической информации. Например, поворот можно определить по текстуре или ориентации линий, без понимания объектов. Контрастивный loss, напротив, требует различать между аугментациями одного объекта и разных объектов — это вынуждает учить семантику.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Зачем в SimCLR нужна сильная аугментация (crop + color jitter)?	<p>Без цветовой аугментации сеть жульничает: фокусируется на цветовой гистограмме картинки, которая почти инвариантна к аугментациям. Это показано явным экспериментом в статье: убрать color jitter → точность резко падает. Crop критичен, потому что разные части одного объекта должны быть позитивной парой, а при малом crop это становится нетривиальным.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Что такое проекционная голова (projection head) в SimCLR и почему её выбрасывают?	<p>Проекционная голова $g$ — дополнительная сеть (обычно 2-слойная MLP), которая преобразует представление энкодера $f(x)$ в пространство, где считается контрастивный loss. После обучения её выбрасывают и используют только $f(x)$. Интуиция: $g$ оптимизирует представление под специфичную контрастивную loss, а $f$ выучивает общие признаки. Для downstream tasks нужны общие признаки $f(x)$, не специфичное пространство $g(f(x))$.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Почему в SimCLR нужен большой батч?	<p>Потому что в батче размера $B$ есть $2B-2$ негативных примеров для каждого позитива. Малый батч = мало негативов = слабый контраст, сеть может выучить коллапс (все представления одинаковые). Большой батч обеспечивает разнообразие негативов, что стабилизирует обучение. На практике батчи 256–8192 стандартны.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Как решает проблему большого батча алгоритм MoCo?	<p>MoCo хранит <strong>очередь (queue)</strong> из $N \approx 65\,536$ недавних представлений (негативов). Новый батч добавляется в конец, старые выбрасываются. Это даёт много негативов без огромного батча. Дополнительно используется <strong>momentum-энкодер</strong>, который обновляется медленно (EMA), чтобы сохранить консистентность ключей в очереди. Формула: $\theta_{\text{key}} \leftarrow m \cdot \theta_{\text{key}} + (1-m) \cdot \theta_{\text{query}}$ с $m \approx 0.999$.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
BYOL обучается без явных негативов — почему не коллапсирует?	<p>Это <strong>открытый вопрос</strong> в теории deep learning. BYOL использует онлайн энкодер с предиктором и целевой энкодер (обновляемый EMA). Теория предсказывает коллапс, но на практике это не происходит. Три гипотезы: (1) батч содержит скрытые отрицательные пары; (2) EMA целевого энкодера стабилизирует, мешая коллапсу; (3) асимметрия в архитектуре нарушает симметрию коллапса. Правда неизвестна и активно исследуется.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Что такое коллапс представлений и как его обнаружить?	<p>Коллапс — когда энкодер выдаёт почти одинаковый вектор для всех входов. Формально: матрица представлений $Z$ (батч × размерность) имеет низкий ранг, часто ранг 1. Обнаружение: вычислить спектр сингулярных чисел матрицы $Z$; если есть сильный перекос (один большой, остальные малы), это коллапс. При коллапсе downstream accuracy в linear probing падает до случайного уровня (~10% на ImageNet).</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Чем контрастивное обучение отличается от метрического обучения (лекция 8)?	<p>Математика одинакова: обе используют InfoNCE / NT-Xent loss. Отличие — в источнике позитивных пар. Метрическое обучение: позитив = две картинки одного <strong>класса (метка)</strong>. Контрастивное (SSL): позитив = две <strong>аугментации одной картинки</strong>. SSL не требует разметки, потому что аугментация = автоматическая метка. На практике контрастивный loss из SSL часто сильнее, чем метрический с метками, потому что аугментации предоставляют жёсткие геометрические ограничения.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Как CLIP делает zero-shot классификацию?	<p>CLIP обучает два энкодера параллельно: image encoder $f_v$ и text encoder $f_t$ на парах (картинка, текст-подпись) с контрастивным loss. После обучения, для zero-shot классификации берут новую картинку $x$ и текстовые описания классов (например, "фотография собаки", "фотография кошки"). Вычисляют косинусное сходство $\cos(f_v(x), f_t(\text{описание класса }k))$ для всех $k$, выбирают argmax. Это работает даже для классов, не видевшихся при обучении, потому что общее представление изображение-текст богато.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Linear probing vs fine-tuning: когда что использовать?	<p>Linear probing: заморозить энкодер, обучить только финальный линейный слой. Быстро, стабильно, показывает качество представлений. Когда: мало разметки (100–1000 примеров), нужна быстрая оценка. Fine-tuning: разрешить обновлять все слои, начиная с малого learning rate. Медленнее, требует подбора гиперпараметров. Когда: много разметки (10K+), максимизируем точность на целевой задаче. На практике: linear probing часто даёт 90% от fine-tuning качества, но в 10 раз быстрее.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Почему MAE (75% маскирование) работает лучше BERT (15% маскирование)?	<p>В BERT маскируют 15% токенов. В MAE — 75% патчей изображения. Более сильное маскирование требует восстанавливать с почти нуля, что требует полного понимания структуры и геометрии, не только локальных паттернов. Это является более сильным сигналом для обучения. Экспериментально MAE достигает ~83% linear probing на ImageNet против ~76% у лучших контрастивных методов. Интуиция: маскированное моделирование работает как более сложная pretask.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
Объясни роль температуры τ в контрастивном loss. Что если τ → 0 или τ → ∞?	<p>NT-Xent loss использует температуру $\tau$ для масштабирования логитов: $\exp(s(z_i, z_j)/\tau)$. При $\tau \to 0$: логиты обостряются, соответствие подчёркивается. Сеть сильно штрафует трудные негативы (похожие на позитив). Может быть нестабильно. При $\tau \to \infty$: логиты сглаживаются, все примеры выглядят одинаково похожими, обучение медленное, нет дифференциации. На практике $\tau \approx 0.07$ обычно оптимально — найдено эмпирически. Это управляет trade-off между фокусировкой и стабильностью.</p>	Лекция_09	Билет_9_Контрастивное_обучение_SSL_InfoNCE
1. Выведи ELBO самостоятельно. Какие неравенства применяются?	<p>Шаг 1: Напишем логарифм правдоподобия через интеграл.</p> <p>$ \log p(x) = \log \int p(x|z)p(z) dz = \log \int q(z|x) \cdot \frac{p(x|z)p(z)}{q(z|x)} dz = \log \mathbb{E}_{z \sim q}[\ldots] $</p> <p>Шаг 2: Применяем неравенство Йенсена для вогнутой функции логарифма.</p> <p>$ \log \mathbb{E}[X] \ge \mathbb{E}[\log X] $</p> <p>Получаем</p> <p>$ \log p(x) \ge \mathbb{E}_{z \sim q} \left[ \log \frac{p(x|z)p(z)}{q(z|x)} \right] = \mathbb{E}_q[\log p(x|z)] - \mathbb{E}_q[\log \frac{q(z|x)}{p(z)}] $</p> <p>Шаг 3: Второе слагаемое — это минус KL.</p> <p>$ = \mathbb{E}_q[\log p(x|z)] - \text{KL}(q(z|x) \| p(z)) = \text{ELBO} $</p> <p>Равенство в Йенсене держится, когда случайная величина — константа, то есть когда q(z|x) = p(z|x) (истинный апостериорный).</p>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
2. Объясни, почему обычный AE не генеративный, а VAE — генеративный.	<p><strong>Обычный AE:</strong> энкодер отображает каждый x в точку z. На обучающих данных это работает, но латентное пространство дырявое — между кластерами мусор. Если сэмплировать случайный z и подать в декодер, он выдаст бессмыслицу.</p> <p><strong>VAE:</strong> энкодер выдаёт параметры распределения q(z|x), мы сэмплируем z из этого распределения. KL-слагаемое регуляризует все q(z|x) к приору p(z)=N(0,I). Это толкает латентное пространство в одно плотное облако. Теперь когда сэмплируем z~p(z)=N(0,I), декодер выдаст осмысленный объект.</p> <p>Ключ: VAE явно контролирует распределение в латентном пространстве через KL-слагаемое.</p>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
3. Напиши KL для двух гауссиан вручную. Почему минимум при μ=0, σ=1?	<p>KL(N(μ,σ²I) || N(0,I)) = -½ ∑_d (1 + log σ_d² - μ_d² - σ_d²)</p> <p>Разберём каждый член:</p> <ul> <li><strong>1:</strong> константа, никак не зависит от параметров.</li> <li><strong>log σ_d²:</strong> растёт, если σ больше. Минимум при σ=1 (log 1 = 0).</li> <li><strong>-μ_d²:</strong> штрафует за μ ≠ 0. Минимум при μ=0.</li> <li><strong>-σ_d²:</strong> штрафует за большую дисперсию. Минимум при σ=0, но σ≥0, так что физически минимум при σ=1.</li> </ul> <p>Поэтому KL достигает минимума (равного -½D, где D — размерность) при μ=0 и σ=1 для каждого компонента. Приор толкает апостериор быть стандартным нормальным.</p>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
4. Репараметризационный трюк: почему градиент рвётся без него?	<p>Без трюка: x → encoder → μ, σ → random node → z ~ q(·|x) → decoder → x̂</p> <p>Узел сэмплирования — это не дифференцируемая операция. Градиент от L по z может пройти (это просто вычисления), но он не может дальше пройти к μ и σ, потому что сэмплирование — случайная функция параметров, а не их гладкая функция.</p> <p>С трюком: ε ~ N(0,I) —ε— z = μ + σ⊙ε ←— μ, σ</p> <p>Теперь z — это просто арифметическое выражение с μ, σ, и ε (который не зависит от параметров сети). ∂z/∂μ = 1, ∂z/∂σ = ε — обычные производные. Градиент свободно проходит.</p>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
5. Почему энкодер предсказывает log σ², а не σ напрямую?	<p>Потому что σ (дисперсия) <strong>обязано быть положительной</strong>. Если сеть выучит отрицательное σ, это потеряет смысл.</p> <p>Если бы применили softplus или другую ограничивающую функцию активации, это добавило бы нелинейность и замедлило вычисления.</p> <p>Вместо этого: энкодер предсказывает logvar = log σ², а потом σ² = exp(logvar). Экспонента всегда положительна, независимо от значения logvar. Никаких ограничений на выход сети. Plus: KL-формула уже содержит log σ², так что вычисляется проще.</p>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
6. Что такое posterior collapse? Как его лечить?	<p><strong>Posterior collapse (ПЦ):</strong> KL-слагаемое обнуляется, q(z|x) становится равным p(z)=N(0,I). Энкодер перестаёт использовать информацию из x, декодер игнорирует z и всё восстанавливает детерминированно по x.</p> <p><strong>Причина:</strong> Если декодер очень мощный (например, авторегрессивный RNN), ему не нужна помощь от z для восстановления x. Он выбирает игнорировать z (KL=0), потому что KL штрафует любое использование z.</p> <p><strong>Лечение:</strong></p> <ul> <li><strong>KL Annealing:</strong> начнём с коэффициента 0 перед KL, постепенно повышаем до 1. Даём модели время научиться.</li> <li><strong>β-VAE:</strong> Loss = Recon + β·KL, где β > 1. Усиливаем регуляризацию латента.</li> <li><strong>Free Bits:</strong> минимизируем max(KL, δ). Если KL уже маленький, не штрафуем дальше.</li> </ul>	Лекция_10	Билет_10_Автоэнкодеры_VAE_ELBO_CVAE
